url,production_status,indexable,robots_allowed,meta_robots,canonical,in_sitemap,title,description,h1,rendered_content,schema,internal_links_in,search_console_inspected,indexing_requested,result,notes
https://getiptvpanel.com/,200,true,true,"index, follow",https://getiptvpanel.com/,true,IPTV Reseller UK | Reseller Panel & Credit Packages,Compare UK-facing IPTV reseller panel options credit rates account-management features and onboarding.,IPTV Reseller Panel for UK Reseller Businesses,Present,"Organization, WebSite, BreadcrumbList",18,Ready for owner submission,Pending owner login,PASS,Primary B2B homepage
https://getiptvpanel.com/reseller-panel,200,true,true,"index, follow",https://getiptvpanel.com/reseller-panel,true,IPTV Reseller Panel | Customer Credit & Renewal Management,Review IPTV reseller panel management features credit consumption rules account creation and security controls.,See How the IPTV Reseller Panel Works,Present,BreadcrumbList,6,Ready for owner submission,Pending owner login,PASS,Product walkthrough page
https://getiptvpanel.com/reseller-packages,200,true,true,"index, follow",https://getiptvpanel.com/reseller-packages,true,IPTV Reseller Packages UK | Credit Prices & Terms,Compare UK IPTV reseller package options published credit rates minimum order levels and operating terms.,Compare IPTV Reseller Credit Packages,Present,BreadcrumbList,7,Ready for owner submission,Pending owner login,PASS,Package pricing page
https://getiptvpanel.com/become-a-reseller,200,true,true,"index, follow",https://getiptvpanel.com/become-a-reseller,true,How to Become an IPTV Reseller in the UK | Operating Plan,Read an 8-stage operating guide to starting an IPTV reseller business in the UK.,How to Become an IPTV Reseller with a Clear Operating Plan,Present,BreadcrumbList,6,Ready for owner submission,Pending owner login,PASS,Step-by-step reseller start guide
https://getiptvpanel.com/profit-calculator,200,true,true,"index, follow",https://getiptvpanel.com/profit-calculator,true,IPTV Reseller Profit Calculator | Estimate Revenue & Costs,Model customer volume retail price payment-processing costs and refund allowances to estimate reseller margin.,Estimate IPTV Reseller Revenue Costs and Margin,Present,BreadcrumbList,6,Ready for owner submission,Pending owner login,PASS,Interactive GBP calculator
https://getiptvpanel.com/individual-subscription,200,false,true,"noindex, follow",https://getiptvpanel.com/individual-subscription,false,Individual Subscription Availability | GetIPTVPanel,Individual subscriptions are feature-gated pending launch validator checks.,Looking for One IPTV Subscription?,Present,None,4,Excluded,Do not request,PASS,Gated B2C page
https://getiptvpanel.com/how-to-choose-an-iptv-service,200,true,true,"index, follow",https://getiptvpanel.com/how-to-choose-an-iptv-service,true,How to Choose an IPTV Service in the UK | 8-Point Checklist,Evaluate UK IPTV services using an 8-point checklist covering streams stability device support and support boundaries.,How to Choose an IPTV Service in the UK,Present,BreadcrumbList,4,Ready for owner submission,Pending owner login,PASS,Buyer evaluation checklist
https://getiptvpanel.com/is-iptv-legal-in-the-uk,200,false,true,"noindex, follow",https://getiptvpanel.com/is-iptv-legal-in-the-uk,false,Is IPTV Legal in the UK? | UK Copyright & Lawful Use,Understand UK copyright law legal IPTV services and compliance checks for users and resellers.,Is IPTV Legal in the UK?,Present,None,4,Excluded,Do not request,PASS,Gated UK legal explainer
https://getiptvpanel.com/guides,200,true,true,"index, follow",https://getiptvpanel.com/guides,true,IPTV Setup Guides | TiviMate Smarters and Fire TV,Step-by-step setup guides for configuring IPTV player applications on supported devices.,IPTV Player Setup Guides for Supported Devices,Present,BreadcrumbList,5,Ready for owner submission,Pending owner login,PASS,Setup guides hub
https://getiptvpanel.com/guides/tivimate-setup,200,true,true,"index, follow",https://getiptvpanel.com/guides/tivimate-setup,true,How to Set Up TiviMate on Android TV or Google TV,Learn how to install and set up TiviMate from the Google Play Store on Android TV and Google TV.,How to Set Up TiviMate on Android TV or Google TV,Present,"BreadcrumbList, Article",3,Ready for owner submission,Pending owner login,PASS,TiviMate setup guide
https://getiptvpanel.com/guides/iptv-smarters-setup,200,true,true,"index, follow",https://getiptvpanel.com/guides/iptv-smarters-setup,true,How to Set Up IPTV Smarters on a Supported Device,Step-by-step guide for setting up IPTV Smarters on supported platforms.,How to Set Up IPTV Smarters on a Supported Device,Present,"BreadcrumbList, Article",3,Ready for owner submission,Pending owner login,PASS,IPTV Smarters setup guide
https://getiptvpanel.com/guides/fire-tv-setup,200,true,true,"index, follow",https://getiptvpanel.com/guides/fire-tv-setup,true,How to Set Up an IPTV Player on Fire TV Safely,Learn how to install supported IPTV player apps from the official Amazon Appstore on Fire TV devices.,How to Set Up an IPTV Player on Fire TV Safely,Present,"BreadcrumbList, Article",3,Ready for owner submission,Pending owner login,PASS,Fire TV setup guide
